year,date,temp_mean,temp_min,temp_max,hum_mean,light_mean,light_max,st1,st2,st3,st4,sm1,sm2,sm3,sm4,ph,salt,pest_count,lure_count,spore_count,label
2024,2024-10-23,2.446288115048546,0.1,4.25,95.68336564357588,2527.5807320778495,13648.466666666667,3.8050757575757577,4.833806818181818,5.838352272727272,6.620454545454546,21.86510416666667,20.434564393939397,19.88380681818182,19.979640151515152,7.219255572008675,0.0091796296296296,0.0,1.0,0.0,1
2024,2024-10-24,3.7153807390817466,0.15,8.366666666666667,70.77128032848078,17003.27874580067,60965.28333333333,4.354281010443999,5.0158851674641145,5.752918660287081,6.425645933014354,22.178736842105263,20.623636363636365,20.010526315789477,19.9911961722488,7.1903563960241845,0.0093730994152046,0.0,2.0,0.0,1
2024,2024-10-25,5.098251463266435,0.1,11.75,70.615983409788,8268.642848341384,63392.65,3.9258200354609927,4.6543560606060606,5.521306818181818,6.251988636363635,21.943645833333335,20.406723484848484,19.971685606060607,20.011363636363637,7.215438625458566,0.009302199074074,0.0,2.0,0.0,1
2024,2024-10-26,2.6858893248254208,0.1,7.316666666666667,58.40753405183705,16020.02062697489,59738.13333333333,3.1224194280430284,4.228693181818182,5.1559659090909085,5.886458333333334,21.665416666666665,20.25227272727273,19.937689393939394,20.00094696969697,7.2175968020916095,0.0091993055555555,0.0,1.0,0.0,1
2024,2024-10-27,2.8251109184537646,0.15,8.033333333333333,63.678601789305105,9451.785733984354,54093.916666666664,3.162660703141252,4.0332057416267935,4.962966507177033,5.749856459330143,21.581684210526316,20.199904306220095,19.899043062200956,19.96622009569378,7.166796776357412,0.0091101754385964,0.0,2.0,0.0,1
2024,2024-10-28,3.2909257185516982,0.1333333333333333,8.133333333333333,78.2357506248821,9244.23227887427,44493.86666666667,3.048859797583902,3.8949810606060606,4.789697966507177,5.546007775119617,21.463411184210525,20.13900019936204,19.88078249601276,19.97124302232855,7.164443480583836,0.0090045138888888,0.0,1.0,0.0,1
2024,2024-10-29,2.8480623066275847,0.1,8.116666666666667,81.61809380032206,10526.339337761674,56226.7,2.789831642193257,3.6824810606060607,4.561837121212121,5.3106060606060606,21.305,20.05691287878788,19.83778409090909,19.917897727272727,7.190243371626178,0.0089202546296296,0.0,1.0,0.0,1
2024,2024-10-30,4.0616056340233015,0.1,9.516666666666666,81.15664880759032,11259.018988718386,58271.95,3.373226773226773,3.9211788211788208,4.664135864135864,5.3425574425574425,21.32901098901099,20.067532467532462,19.82897102897103,19.91278721278721,7.191888908985252,0.0088728937728937,0.0,2.0,0.0,1
2024,2024-10-31,5.994350282485875,1.1,10.283333333333331,75.75,14497.751129943505,56332.75,4.305568621090476,4.45808936825886,4.932819722650231,5.463174114021571,21.326610169491524,20.09090909090909,19.85439137134053,19.94853620955316,7.209943621369988,0.0088719397363465,0.0,1.0,0.0,1
2025,2025-05-01,13.605677626303128,10.2,17.6,68.56665864742048,21194.836770916867,86752.94,9.5414237199582,7.441282654127481,5.722988505747127,4.213541013584117,22.888814872866597,22.193173981191222,21.71902037617555,22.97229623824451,6.95310016523961,0.0085624564611633,0.0,1.0,0.0,2
